id;description;prep_time;cook_time;servings;source;url;directions;difficulty;image;image_content_type
1;Shoes Health Handcrafted Rubber Pants;1933;23087;53750;SMTP Orchestrator;https://lou.org;Orchestrator Shoes Books;HARD;../fake-data/blob/hipster.png;image/png
2;leverage Global;93355;98614;47761;copy Bedfordshire Pound Sterling;https://ayana.net;Ergonomic Rubber Chips synthesizing client-driven;MODERATE;../fake-data/blob/hipster.png;image/png
3;RSS generating dot-com;26847;61502;86062;Practical invoice;https://elda.name;Towels Grocery regional;MODERATE;../fake-data/blob/hipster.png;image/png
4;withdrawal lavender hard drive;7607;57879;891;multi-byte COM magenta;https://noemy.com;Berkshire;HARD;../fake-data/blob/hipster.png;image/png
5;Planner JBOD;44538;53523;40801;quantifying;http://luigi.org;deploy functionalities open architecture;HARD;../fake-data/blob/hipster.png;image/png
6;Pakistan Rupee;26538;52524;76974;Practical Cotton Sausages;https://moriah.name;Tokelau Bedfordshire Shoes;HARD;../fake-data/blob/hipster.png;image/png
7;index framework;83477;60943;29258;Rustic Concrete Fish;https://jeanie.com;port;HARD;../fake-data/blob/hipster.png;image/png
8;Botswana;15315;60988;97378;Frozen Soft Burundi Franc;https://jake.org;Chicken Frozen synthesizing;MODERATE;../fake-data/blob/hipster.png;image/png
9;Rhode Island;596;94861;76404;Georgia Central morph;https://betty.info;input;MODERATE;../fake-data/blob/hipster.png;image/png
10;Hollow PCI logistical;34868;78455;19280;aggregate 1080p;http://aniya.info;Wooden integrate deposit;HARD;../fake-data/blob/hipster.png;image/png
